step,loss,train_acc,val_acc,val_loss,lr
200,2.6780,0.5625,,,8.04e-05
400,1.9349,0.7500,,,1.60e-04
600,1.5472,0.9375,,,2.40e-04
800,1.2607,0.8125,,,3.20e-04
1000,1.1740,0.9375,,,4.00e-04
1000,,,0.7982,0.5037,
1200,1.0926,0.6875,,,4.80e-04
1400,1.0636,0.5625,,,5.60e-04
1600,0.9798,0.8750,,,6.40e-04
1800,0.9983,0.8125,,,7.20e-04
2000,0.8790,1.0000,,,8.00e-04
2000,,,0.7890,0.6132,
2200,0.8382,0.9375,,,8.00e-04
2400,0.7728,0.9375,,,7.99e-04
2600,0.7095,1.0000,,,7.98e-04
2800,0.6652,0.8750,,,7.96e-04
3000,0.6385,1.0000,,,7.95e-04
3000,,,0.7901,0.6365,
3200,0.5818,0.8125,,,7.92e-04
3400,0.5348,0.9375,,,7.89e-04
3600,0.5271,1.0000,,,7.86e-04
3800,0.5608,0.9375,,,7.82e-04
4000,0.4805,1.0000,,,7.78e-04
4000,,,0.7775,0.6026,
4200,0.4265,1.0000,,,7.74e-04
4400,0.4366,0.9375,,,7.69e-04
4600,0.4356,1.0000,,,7.64e-04
4800,0.3814,1.0000,,,7.58e-04
